,Hydride Length,Material Orientation,Hydride Volume Fraction,Hydride Orientation,Hydride Spacing,Strain,Gumbel Mu,Gumbel Beta,Known Crack Strain
0,3e-05,60,20,30,7.500000000000001e-06,0.25,115739779.18820207,8009422.107592117,1.3675
1,3e-05,60,20,30,7.500000000000001e-06,0.5,231160785.5431587,15989057.80709546,1.3675
2,3e-05,60,20,30,7.500000000000001e-06,0.75,345927971.8043668,23793554.119883273,1.3675
3,3e-05,60,20,30,7.500000000000001e-06,1.0,453279211.7316113,24209631.22574666,1.3675
4,3e-05,60,20,30,7.500000000000001e-06,1.25,538769752.4677231,17104246.389730535,1.3675
5,3e-05,60,20,30,7.500000000000001e-06,1.5,591842025.9877746,10675198.543407653,1.3675
6,3e-05,60,20,30,7.500000000000001e-06,1.75,612754570.9767253,7165558.833878287,1.3675
7,3e-05,60,20,30,7.500000000000001e-06,2.0,618833326.2531894,6776842.013811661,1.3675
8,3e-05,60,20,30,7.500000000000001e-06,2.25,622357552.6315899,7628410.528857406,1.3675
9,3e-05,60,20,30,7.500000000000001e-06,2.5,624669170.058362,9283750.656481706,1.3675
10,3e-05,60,20,30,7.500000000000001e-06,2.75,626221469.2467949,13286337.529568125,1.3675
11,3e-05,60,20,30,7.500000000000001e-06,3.0,631456467.2216477,15722957.179616481,1.3675
12,3e-05,60,20,30,7.500000000000001e-06,3.25,638525232.8779049,17516011.234802306,1.3675
13,3e-05,60,20,30,7.500000000000001e-06,3.5,643784291.395829,19386726.44735191,1.3675
14,3e-05,60,20,30,7.500000000000001e-06,3.75,648169155.3902367,21488179.257742874,1.3675
15,3e-05,60,20,30,7.500000000000001e-06,4.0,651868206.3931267,23746155.36590231,1.3675
16,3e-05,60,20,30,7.500000000000001e-06,4.25,655384701.7285428,26043397.81377017,1.3675
17,3e-05,60,20,30,7.500000000000001e-06,4.5,657985928.5166192,28628235.615079246,1.3675
18,3e-05,60,20,30,7.500000000000001e-06,4.75,660360515.0431521,31117863.425369337,1.3675
19,3e-05,60,20,30,7.500000000000001e-06,5.0,663880905.3345034,34443955.0580928,1.3675
20,3e-05,60,20,30,2.5e-06,0.25,112751374.58662587,8874075.45242087,1.51025
21,3e-05,60,20,30,2.5e-06,0.5,225147320.9102428,17686496.451332834,1.51025
22,3e-05,60,20,30,2.5e-06,0.75,337111911.75381243,26417100.747915,1.51025
23,3e-05,60,20,30,2.5e-06,1.0,442439299.9566833,28527774.907469578,1.51025
24,3e-05,60,20,30,2.5e-06,1.25,525204002.3628007,19454873.942959096,1.51025
25,3e-05,60,20,30,2.5e-06,1.5,588150301.1456165,12930440.49995743,1.51025
26,3e-05,60,20,30,2.5e-06,1.75,606134080.455614,8374577.729820875,1.51025
27,3e-05,60,20,30,2.5e-06,2.0,608253615.3974763,7408236.815407325,1.51025
28,3e-05,60,20,30,2.5e-06,2.25,609620453.6015496,7532079.097224809,1.51025
29,3e-05,60,20,30,2.5e-06,2.5,610779026.7906743,8329393.521081191,1.51025
30,3e-05,60,20,30,2.5e-06,2.75,612371747.806493,9646343.446410928,1.51025
31,3e-05,60,20,30,2.5e-06,3.0,616505468.1426444,11574446.510146262,1.51025
32,3e-05,60,20,30,2.5e-06,3.25,621082290.4884102,14087252.041909907,1.51025
33,3e-05,60,20,30,2.5e-06,3.5,626292143.1927879,16715708.829277525,1.51025
34,3e-05,60,20,30,2.5e-06,3.75,632465421.9812665,20125593.86695192,1.51025
35,3e-05,60,20,30,2.5e-06,4.0,637290425.5629799,23091662.264856905,1.51025
36,3e-05,60,20,30,2.5e-06,4.25,642144182.2807539,26219998.434369173,1.51025
37,3e-05,60,20,30,2.5e-06,4.5,647125300.3964626,29004613.453668043,1.51025
38,3e-05,60,20,30,2.5e-06,4.75,651642246.9858431,31058083.16397283,1.51025
39,3e-05,60,20,30,2.5e-06,5.0,656142988.5322963,32775572.58594695,1.51025
40,3e-05,60,10,30,2.5e-06,0.25,96956087.75277668,6329971.930731848,1.9465
41,3e-05,60,10,30,2.5e-06,0.5,193552157.7088701,12570026.221996307,1.9465
42,3e-05,60,10,30,2.5e-06,0.75,289767737.19608575,18742700.089667927,1.9465
43,3e-05,60,10,30,2.5e-06,1.0,384550662.1386271,22467064.44281168,1.9465
